Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Best Quartile;H index;Total Docs. (2025);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;Country;Region;Publisher;Coverage;Categories;Areas
1097;21101077110;"Cognitive Computation and Systems";journal;"25177567";"John Wiley and Sons Inc";Yes;No;0,462;Q2;17;5;71;124;196;70;3,31;24,80;44,44;0;United Kingdom;Western Europe;"John Wiley and Sons Inc";"2019-2025";"Computer Vision and Pattern Recognition (Q2); Artificial Intelligence (Q3); Cognitive Neuroscience (Q3); Computer Science Applications (Q3); Experimental and Cognitive Psychology (Q3)";"Computer Science; Neuroscience; Psychology"
1098;21100897215;"Revista de Educacion a Distancia";journal;"15787680";"Universidad de Murcia";Yes;Yes;0,462;Q3;20;15;97;768;212;97;2,16;51,20;52,17;0;Spain;Western Europe;"Universidad de Murcia";"2018-2025";"Education (Q2); Computer Science Applications (Q3)";"Computer Science; Social Sciences"
1099;24282;"Proceedings - International Conference on Pattern Recognition";conference and proceedings;"10514651";"Institute of Electrical and Electronics Engineers Inc.";No;No;0,462;-;133;0;720;0;1491;717;0,00;0,00;0,00;0;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"1982, 1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020-2022";"Computer Vision and Pattern Recognition";"Computer Science"
1100;5300152202;"IET Communications";journal;"17518628, 17518636";"John Wiley &amp; Sons Inc.";Yes;No;0,461;Q3;74;148;547;5307;1467;542;2,08;35,86;27,56;0;United States;Northern America;"John Wiley &amp; Sons Inc.";"2007-2026";"Electrical and Electronic Engineering (Q2); Computer Science Applications (Q3)";"Computer Science; Engineering"
1101;21101303301;"Analytics";journal;"28132203";"Multidisciplinary Digital Publishing Institute (MDPI)";Yes;No;0,460;Q2;12;36;87;1726;277;84;3,48;47,94;35,29;0;Switzerland;Western Europe;"Multidisciplinary Digital Publishing Institute (MDPI)";"2022-2025";"Analysis (Q2); Computer Science (miscellaneous) (Q2); Mathematics (miscellaneous) (Q2)";"Computer Science; Mathematics"
1102;21100996100;"International Journal of Population Data Science";journal;"23994908";"Swansea University";Yes;No;0,460;Q2;25;52;239;1527;267;214;0,93;29,37;63,83;1;United Kingdom;Western Europe;"Swansea University";"2017-2026";"Demography (Q2); Information Systems (Q2); Information Systems and Management (Q2); Health Informatics (Q3)";"Computer Science; Decision Sciences; Medicine; Social Sciences"
1103;21100886426;"Brain-Computer Interfaces";journal;"23262621, 2326263X";"Taylor and Francis Ltd.";No;No;0,460;Q3;26;0;39;0;87;38;2,32;0,00;0,00;0;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2014-2024";"Electrical and Electronic Engineering (Q2); Biomedical Engineering (Q3); Human-Computer Interaction (Q3); Behavioral Neuroscience (Q4)";"Computer Science; Engineering; Neuroscience"
1104;21100218359;"Annual IEEE Communications Society Conference on Sensor, Mesh and Ad Hoc Communications and Networks workshops";conference and proceedings;"21555486, 21555494";"IEEE Computer Society";No;No;0,460;-;29;0;187;0;299;179;1,28;0,00;0,00;0;United States;Northern America;"IEEE Computer Society";"2012, 2019-2024";"Computer Networks and Communications; Electrical and Electronic Engineering; Hardware and Architecture";"Computer Science; Engineering"
1105;19053;"Computational Economics";journal;"09277099, 15729974";"Springer Netherlands";No;No;0,459;Q3;56;636;478;30812;1521;475;3,12;48,45;28,12;4;Netherlands;Western Europe;"Springer Netherlands";"1993-2026";"Economics, Econometrics and Finance (miscellaneous) (Q2); Computer Science Applications (Q3)";"Computer Science; Economics, Econometrics and Finance"
1106;21101295952;"Journal of Edge Computing";journal;"2837181X";"Academy of Cognitive and Natural Sciences";Yes;No;0,457;Q2;9;11;28;552;91;27;3,57;50,18;23,08;0;Ukraine;Eastern Europe;"Academy of Cognitive and Natural Sciences";"2022-2025";"Computer Networks and Communications (Q2); Computer Science (miscellaneous) (Q2); Hardware and Architecture (Q2); Artificial Intelligence (Q3)";"Computer Science"
1107;21100211117;"Communications in Applied Mathematics and Computational Science";journal;"15593940, 21575452";"Mathematical Sciences Publishers";No;No;0,456;Q2;28;9;15;285;23;15;0,82;31,67;15,00;0;United States;Northern America;"Mathematical Sciences Publishers";"2006-2025";"Applied Mathematics (Q2); Computational Theory and Mathematics (Q2); Computer Science Applications (Q3)";"Computer Science; Mathematics"
1108;21100199814;"Cybernetics and Information Technologies";journal;"13119702, 13144081";"Institute of Information and Communication Technologies, Bulgarian Academy of Sciences";Yes;Yes;0,456;Q2;27;42;119;1666;339;119;3,49;39,67;37,62;0;Bulgaria;Eastern Europe;"Institute of Information and Communication Technologies, Bulgarian Academy of Sciences";"2011-2025";"Computer Science (miscellaneous) (Q2)";"Computer Science"
1109;21101306831;"Distributed Ledger Technologies";journal;"27696480";"Association for Computing Machinery";No;No;0,456;Q2;11;46;69;2708;214;65;3,19;58,87;21,25;0;United States;Northern America;"Association for Computing Machinery";"2022-2026";"Information Systems (Q2); Management Information Systems (Q2); Computer Science Applications (Q3)";"Business, Management and Accounting; Computer Science"
1110;15420;"Electronic Library";journal;"02640473";"Emerald Group Publishing Ltd.";No;No;0,456;Q3;53;64;132;3503;384;128;3,16;54,73;42,01;0;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"1983-2026";"Library and Information Sciences (Q2); Computer Science Applications (Q3)";"Computer Science; Social Sciences"
1111;19700187807;"Information Security Journal";journal;"19393555, 19393547";"Taylor and Francis Ltd.";No;No;0,456;Q3;37;63;105;3238;342;105;3,00;51,40;32,57;0;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2008-2026";"Information Systems and Management (Q2); Computer Science Applications (Q3); Software (Q3)";"Computer Science; Decision Sciences"
1112;21100450131;"Journal of Technology and Science Education";journal;"20145349, 20136374";"OmniaScience";Yes;No;0,456;Q3;27;51;170;2640;482;169;2,84;51,76;46,91;0;Spain;Western Europe;"OmniaScience";"2014-2026";"Education (Q2); Computer Science Applications (Q3)";"Computer Science; Social Sciences"
1113;15484;"International Journal of Computers and Applications";journal;"1206212X, 19257074";"Taylor and Francis Ltd.";No;No;0,455;Q2;30;73;262;3834;782;256;2,25;52,52;31,46;0;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1997-2026";"Computer Graphics and Computer-Aided Design (Q2); Hardware and Architecture (Q2); Computer Science Applications (Q3); Software (Q3)";"Computer Science"
1114;25620;"Journal of Logic and Computation";journal;"0955792X, 1465363X";"Oxford University Press";No;No;0,455;Q2;59;151;204;4499;202;197;0,97;29,79;19,93;0;United Kingdom;Western Europe;"Oxford University Press";"1990-2026";"Arts and Humanities (miscellaneous) (Q1); Hardware and Architecture (Q2); Logic (Q2); Software (Q3); Theoretical Computer Science (Q3)";"Arts and Humanities; Computer Science; Mathematics"
1115;20013;"Software Quality Journal";journal;"09639314, 15731367";"Springer New York";No;No;0,455;Q3;55;35;139;1835;421;134;3,15;52,43;31,13;0;United States;Northern America;"Springer New York";"1992-1999, 2001-2026";"Media Technology (Q2); Safety, Risk, Reliability and Quality (Q2); Software (Q3)";"Computer Science; Engineering"
1116;21100945165;"Acta Informatica Pragensia";journal;"18054951";"";Yes;Yes;0,454;Q2;12;30;79;1712;219;75;3,15;57,07;39,24;0;Czech Republic;Eastern Europe;"";"2019-2025";"Information Systems (Q2); Library and Information Sciences (Q2); Management Information Systems (Q2); Computer Science Applications (Q3)";"Business, Management and Accounting; Computer Science; Social Sciences"
1117;21100780696;"Big Data";journal;"21676461, 2167647X";"Mary Ann Liebert Inc.";No;No;0,454;Q2;47;37;118;1818;330;111;2,59;49,14;37,90;0;United States;Northern America;"Mary Ann Liebert Inc.";"2013-2026";"Information Systems (Q2); Information Systems and Management (Q2); Computer Science Applications (Q3)";"Computer Science; Decision Sciences"
1118;21101194144;"Digital Translation: International Journal of Translation and Localization";journal;"29496861, 29496845";"John Benjamins Publishing Company";No;No;0,453;Q3;8;8;31;368;36;29;1,32;46,00;71,43;0;Netherlands;Western Europe;"John Benjamins Publishing Company";"2023-2026";"Linguistics and Language (Q1); Communication (Q2); Software (Q3)";"Computer Science; Social Sciences"
1119;21100899643;"Journal of Computational Physics: X";journal;"25900552";"Academic Press Inc.";Yes;No;0,453;Q3;19;0;19;0;35;19;1,71;0,00;0,00;0;United States;Northern America;"Academic Press Inc.";"2019-2023";"Physics and Astronomy (miscellaneous) (Q2); Computer Science Applications (Q3)";"Computer Science; Physics and Astronomy"
1120;21100390407;"Journal of Biomedical Physics and Engineering";journal;"22517200";"Shiraz University of Medical Sciences";Yes;No;0,452;Q2;29;60;199;1764;433;171;1,78;29,40;33,67;0;Iran;Middle East;"Shiraz University of Medical Sciences";"2015-2026";"Computer Vision and Pattern Recognition (Q2); Physical Therapy, Sports Therapy and Rehabilitation (Q2); Radiation (Q2); Radiological and Ultrasound Technology (Q2); Artificial Intelligence (Q3); Bioengineering (Q3); Biomedical Engineering (Q3); Computer Science Applications (Q3); Radiology, Nuclear Medicine and Imaging (Q3)";"Chemical Engineering; Computer Science; Engineering; Health Professions; Medicine; Physics and Astronomy"
1121;21100243801;"Multisensory Research";journal;"22134808, 22134794";"Brill Academic Publishers";No;No;0,452;Q2;62;36;70;2476;141;70;1,94;68,78;46,73;0;Netherlands;Western Europe;"Brill Academic Publishers";"2013-2026";"Computer Vision and Pattern Recognition (Q2); Cognitive Neuroscience (Q3); Experimental and Cognitive Psychology (Q3); Ophthalmology (Q3); Sensory Systems (Q4)";"Computer Science; Medicine; Neuroscience; Psychology"
1122;79036;"Pacific Symposium on Biocomputing";journal;"23356928, 23356936";"World Scientific Publishing Co., Inc.";No;No;0,452;Q2;84;56;152;0;199;146;1,33;0,00;38,91;0;United States;Northern America;"World Scientific Publishing Co., Inc.";"1996-2005, 2012-2025";"Computational Theory and Mathematics (Q2); Biomedical Engineering (Q3); Medicine (miscellaneous) (Q3)";"Computer Science; Engineering; Medicine"
1123;24998;"Computer Aided Geometric Design";journal;"01678396";"Elsevier B.V.";No;No;0,451;Q2;81;35;179;1323;342;179;1,88;37,80;30,83;0;Netherlands;Western Europe;"Elsevier B.V.";"1974, 1984-2026";"Aerospace Engineering (Q2); Automotive Engineering (Q2); Computer Graphics and Computer-Aided Design (Q2); Modeling and Simulation (Q2)";"Computer Science; Engineering; Mathematics"
1124;21100198411;"Proceedings of the International Symposium on Wireless Communication Systems";conference and proceedings;"21540217, 21540225";"V D E Verlag GmbH";No;No;0,451;-;39;0;200;0;256;198;0,99;0,00;0,00;0;United States;Northern America;"V D E Verlag GmbH";"1995, 2011-2013, 2015-2019, 2021-2022, 2024";"Computer Networks and Communications; Electrical and Electronic Engineering; Media Technology";"Computer Science; Engineering"
1125;21100202719;"Journal of Systems and Information Technology";journal;"17588847, 13287265";"Emerald Publishing";No;No;0,450;Q2;42;41;66;3379;245;65;4,39;82,41;37,04;0;United Kingdom;Western Europe;"Emerald Publishing";"1997-2004, 2007-2026";"Computer Science (miscellaneous) (Q2); Information Systems (Q2); Management Information Systems (Q2)";"Business, Management and Accounting; Computer Science"
1126;21100201505;"International Journal of Advances in Soft Computing and its Applications";journal;"20748523";"Al-Zaytoonah University of Jordan";Yes;No;0,449;Q3;30;62;149;2222;542;149;3,49;35,84;26,23;0;Jordan;Middle East;"Al-Zaytoonah University of Jordan";"2009-2025";"Computer Science Applications (Q3)";"Computer Science"
1127;27871;"Concurrency and Computation: Practice and Experience";journal;"15320626, 15320634";"John Wiley and Sons Ltd";No;No;0,447;Q2;89;522;1925;21547;4937;1903;2,69;41,28;30,47;0;United Kingdom;Western Europe;"John Wiley and Sons Ltd";"2001-2026";"Computational Theory and Mathematics (Q2); Computer Networks and Communications (Q2); Computer Science Applications (Q3); Software (Q3); Theoretical Computer Science (Q3)";"Computer Science; Mathematics"
1128;19700177026;"IEEE Embedded Systems Letters";journal;"19430663, 19430671";"Institute of Electrical and Electronics Engineers Inc.";No;No;0,447;Q2;37;173;247;2374;631;244;2,31;13,72;19,67;0;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"2009-2026";"Computer Science (miscellaneous) (Q2); Control and Systems Engineering (Q2)";"Computer Science; Engineering"
1129;23678;"Artificial Intelligence for Engineering Design, Analysis and Manufacturing: AIEDAM";journal;"08900604, 14691760";"Cambridge University Press";No;No;0,447;Q3;65;31;86;2053;247;85;3,16;66,23;26,85;0;United Kingdom;Western Europe;"Cambridge University Press";"1987-2026";"Industrial and Manufacturing Engineering (Q2); Artificial Intelligence (Q3)";"Computer Science; Engineering"
1130;19700174611;"Information Technology and Control";journal;"2335884X, 1392124X";"Kauno Technologijos Universitetas";Yes;No;0,447;Q3;27;83;202;3035;550;202;2,71;36,57;39,15;0;Lithuania;Eastern Europe;"Kauno Technologijos Universitetas";"2008-2025";"Control and Systems Engineering (Q2); Electrical and Electronic Engineering (Q2); Computer Science Applications (Q3)";"Computer Science; Engineering"
1131;21100935763;"Health Systems";journal;"20476973, 20476965";"Taylor and Francis Inc.";No;No;0,445;Q2;24;28;72;1669;203;69;3,19;59,61;34,04;0;United States;Northern America;"Taylor and Francis Inc.";"2012-2026";"Information Systems (Q2); Computer Science Applications (Q3); Health Informatics (Q3); Health Information Management (Q3); Health Policy (Q3); Human-Computer Interaction (Q3); Management Science and Operations Research (Q3)";"Computer Science; Decision Sciences; Health Professions; Medicine"
1132;21101083109;"SN Computer Science";journal;"2662995X, 26618907";"Springer";No;No;0,445;Q2;65;1025;2513;45346;8133;2512;3,15;44,24;31,43;0;Singapore;Asiatic Region;"Springer";"2020-2026";"Computational Theory and Mathematics (Q2); Computer Graphics and Computer-Aided Design (Q2); Computer Networks and Communications (Q2); Computer Science (miscellaneous) (Q2); Artificial Intelligence (Q3); Computer Science Applications (Q3)";"Computer Science"
1133;21100244929;"Leibniz International Proceedings in Informatics, LIPIcs";conference and proceedings;"18688969";"Schloss Dagstuhl- Leibniz-Zentrum fur Informatik GmbH, Dagstuhl Publishing";Yes;No;0,445;-;58;1754;4711;56044;4375;4488;0,88;31,95;17,94;0;Germany;Western Europe;"Schloss Dagstuhl- Leibniz-Zentrum fur Informatik GmbH, Dagstuhl Publishing";"2008-2025";"Logic; Software";"Computer Science; Mathematics"
1134;26802;"International Journal of Speech Technology";journal;"13812416, 15728110";"Springer Netherlands";No;No;0,444;Q2;47;60;238;2697;698;238;3,04;44,95;37,30;0;Netherlands;Western Europe;"Springer Netherlands";"1995, 1997-2026";"Linguistics and Language (Q1); Computer Vision and Pattern Recognition (Q2); Human-Computer Interaction (Q3); Software (Q3)";"Computer Science; Social Sciences"
1135;144698;"International Journal of Simulation Modelling";journal;"17264529, 19968566";"DAAAM International Vienna";No;No;0,444;Q3;39;60;183;1503;443;182;2,68;25,05;33,88;0;Austria;Western Europe;"DAAAM International Vienna";"2005-2025";"Modeling and Simulation (Q2); Computer Science Applications (Q3)";"Computer Science; Mathematics"
1136;21101059746;"IEEE Open Journal of Nanotechnology";journal;"26441292";"Institute of Electrical and Electronics Engineers Inc.";Yes;No;0,443;Q3;15;21;70;766;239;67;3,26;36,48;17,07;0;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"2020-2026";"Electrical and Electronic Engineering (Q2); Materials Chemistry (Q2); Computer Science Applications (Q3); Electronic, Optical and Magnetic Materials (Q3)";"Computer Science; Engineering; Materials Science"
1137;21100872775;"International Journal of Vehicle Performance";journal;"17453194, 17453208";"Inderscience Enterprises Ltd";No;No;0,443;Q3;16;20;62;813;148;61;2,63;40,65;30,00;0;United Kingdom;Western Europe;"Inderscience Enterprises Ltd";"2013-2025";"Automotive Engineering (Q2); Mechanical Engineering (Q2); Mechanics of Materials (Q2); Modeling and Simulation (Q2); Safety, Risk, Reliability and Quality (Q2); Computer Science Applications (Q3); Fuel Technology (Q3)";"Computer Science; Energy; Engineering; Mathematics"
1138;11800154542;"International Journal of Computers, Communications and Control";journal;"18419836, 18419844";"Agora University";Yes;No;0,442;Q2;46;59;181;2088;473;181;2,82;35,39;20,93;0;Romania;Eastern Europe;"Agora University";"2007-2026";"Computational Theory and Mathematics (Q2); Computer Networks and Communications (Q2); Computer Science Applications (Q3)";"Computer Science"
1139;17600155397;"International Journal of Design";journal;"1994036X, 19913761";"Chinese Institute of Design";Yes;No;0,442;Q2;59;19;57;1405;213;57;2,68;73,95;64,71;0;Taiwan;Asiatic Region;"Chinese Institute of Design";"2007-2025";"Visual Arts and Performing Arts (Q1); Computer Graphics and Computer-Aided Design (Q2); Industrial and Manufacturing Engineering (Q2); Computer Science Applications (Q3); Marketing (Q3); Strategy and Management (Q3)";"Arts and Humanities; Business, Management and Accounting; Computer Science; Engineering"
1140;23792;"Computer Journal";journal;"14602067, 00104620";"Oxford University Press";No;No;0,441;Q2;77;149;678;5973;1513;671;2,19;40,09;30,59;0;United Kingdom;Western Europe;"Oxford University Press";"1967-2026";"Computer Science (miscellaneous) (Q2)";"Computer Science"
1141;21101019334;"Journal of Business Analytics";journal;"2573234X, 25732358";"Taylor and Francis Ltd.";No;No;0,441;Q2;15;29;48;1926;137;47;2,47;66,41;30,43;0;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2018-2026";"Industrial and Manufacturing Engineering (Q2); Information Systems (Q2); Information Systems and Management (Q2); Management Information Systems (Q2); Artificial Intelligence (Q3); Management Science and Operations Research (Q3); Statistics, Probability and Uncertainty (Q3)";"Business, Management and Accounting; Computer Science; Decision Sciences; Engineering"
1142;18003;"Advanced Robotics";journal;"01691864, 15685535";"Taylor and Francis Ltd.";No;No;0,441;Q3;81;122;348;4593;708;324;1,89;37,65;19,26;0;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1986-2026";"Control and Systems Engineering (Q2); Computer Science Applications (Q3); Hardware and Architecture (Q3); Human-Computer Interaction (Q3); Software (Q3)";"Computer Science; Engineering"
1143;21101393933;"Data Science in Finance and Economics";journal;"27692140";"American Institute of Mathematical Sciences";No;No;0,441;Q3;11;22;72;1470;223;72;3,28;66,82;22,00;0;United States;Northern America;"American Institute of Mathematical Sciences";"2022-2026";"Decision Sciences (miscellaneous) (Q2); Finance (Q2); Artificial Intelligence (Q3); Computer Science Applications (Q3); Economics and Econometrics (Q3); Statistics and Probability (Q3); Statistics, Probability and Uncertainty (Q3)";"Computer Science; Decision Sciences; Economics, Econometrics and Finance; Mathematics"
1144;21100204120;"Journal of Analytical Methods in Chemistry";journal;"20908873, 20908865";"John Wiley and Sons Ltd";Yes;No;0,441;Q3;49;25;150;890;448;150;2,38;35,60;46,84;0;United Kingdom;Western Europe;"John Wiley and Sons Ltd";"1999, 2012-2026";"Chemical Engineering (miscellaneous) (Q2); Instrumentation (Q2); Analytical Chemistry (Q3); Computer Science Applications (Q3)";"Chemical Engineering; Chemistry; Computer Science; Physics and Astronomy"
1145;24831;"Quantum Information Processing";journal;"15731332, 15700755";"Springer";No;No;0,441;Q3;85;394;1253;17356;2958;1246;2,33;44,05;31,20;1;United States;Northern America;"Springer";"2004-2026";"Electrical and Electronic Engineering (Q2); Modeling and Simulation (Q2); Electronic, Optical and Magnetic Materials (Q3); Signal Processing (Q3); Statistical and Nonlinear Physics (Q3); Theoretical Computer Science (Q3)";"Computer Science; Engineering; Materials Science; Mathematics; Physics and Astronomy"
1146;130138;"International Journal on Document Analysis and Recognition";journal;"14332825, 14332833";"Springer Verlag";Yes;No;0,440;Q2;64;77;98;4005;269;95;2,48;52,01;23,81;0;Germany;Western Europe;"Springer Verlag";"1998-2026";"Computer Vision and Pattern Recognition (Q2); Computer Science Applications (Q3); Software (Q3)";"Computer Science"
1147;20571;"Theoretical Computer Science";journal;"03043975";"Elsevier B.V.";No;No;0,440;Q2;139;385;1174;11618;1653;1156;1,42;30,18;25,34;0;Netherlands;Western Europe;"Elsevier B.V.";"1975-2026";"Computer Science (miscellaneous) (Q2); Theoretical Computer Science (Q3)";"Computer Science; Mathematics"
1148;21100857955;"Data Technologies and Applications";journal;"25149288, 25149318";"Emerald Publishing";Yes;No;0,438;Q2;40;41;114;2161;302;114;2,56;52,71;37,40;0;United Kingdom;Western Europe;"Emerald Publishing";"2018-2026";"Information Systems (Q2); Library and Information Sciences (Q2)";"Computer Science; Social Sciences"
1149;25509;"Information and Computation";journal;"10902651, 08905401";"Elsevier Inc.";No;No;0,437;Q2;86;99;315;3159;384;300;1,39;31,91;20,16;0;United States;Northern America;"Elsevier Inc.";"1987-2026";"Computational Theory and Mathematics (Q2); Information Systems (Q2); Computer Science Applications (Q3); Theoretical Computer Science (Q3)";"Computer Science; Mathematics"
1150;19700186867;"Journal of Ambient Intelligence and Smart Environments";journal;"18761364";"SAGE Publications Ltd";No;No;0,436;Q3;41;14;77;579;165;60;2,00;41,36;33,33;0;United Kingdom;Western Europe;"SAGE Publications Ltd";"2009-2025";"Software (Q3)";"Computer Science"
1151;10900153307;"Journal of Simulation";journal;"17477778, 17477786";"Taylor and Francis Ltd.";No;No;0,436;Q3;36;85;151;5619;383;148;2,58;66,11;32,32;1;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2008-2026";"Industrial and Manufacturing Engineering (Q2); Modeling and Simulation (Q2); Management Science and Operations Research (Q3); Software (Q3)";"Computer Science; Decision Sciences; Engineering; Mathematics"
1152;21100255068;"Masaryk University Journal of Law and Technology";journal;"18025951, 18025943";"Faculty of Law, Masaryk University";Yes;No;0,436;Q3;10;11;27;548;53;27;2,33;49,82;42,11;0;Czech Republic;Eastern Europe;"Faculty of Law, Masaryk University";"2013-2025";"Law (Q2); Library and Information Sciences (Q2); Computer Science Applications (Q3)";"Computer Science; Social Sciences"
1153;21101063736;"IFAC Journal of Systems and Control";journal;"24686018";"Elsevier B.V.";No;No;0,435;Q2;19;56;94;2592;219;94;2,29;46,29;25,54;0;United Kingdom;Western Europe;"Elsevier B.V.";"2017-2026";"Computer Networks and Communications (Q2); Control and Systems Engineering (Q2); Artificial Intelligence (Q3); Computer Science Applications (Q3); Management Science and Operations Research (Q3); Modeling and Simulation (Q3)";"Computer Science; Decision Sciences; Engineering; Mathematics"
1154;21100824682;"Smart Science";journal;"23080477";"Taylor and Francis Ltd.";Yes;No;0,435;Q2;24;41;110;1942;367;110;2,92;47,37;27,52;0;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2013-2025";"Chemistry (miscellaneous) (Q2); Computational Mathematics (Q2); Computer Networks and Communications (Q2); Engineering (miscellaneous) (Q2); Fluid Flow and Transfer Processes (Q2); Energy (miscellaneous) (Q3); Modeling and Simulation (Q3)";"Chemical Engineering; Chemistry; Computer Science; Energy; Engineering; Mathematics"
1155;12906;"Proceedings of the IEEE Symposium on Reliable Distributed Systems";conference and proceedings;"10609857";"IEEE Computer Society";No;No;0,435;-;54;0;89;0;169;80;1,06;0,00;0,00;0;United States;Northern America;"IEEE Computer Society";"1992, 1994-2024";"Computer Networks and Communications; Hardware and Architecture; Software; Theoretical Computer Science";"Computer Science; Mathematics"
1156;13185;"Computing in Science and Engineering";journal;"15219615, 1558366X";"IEEE Computer Society";No;No;0,434;Q2;86;49;146;530;355;136;2,67;10,82;27,40;0;United States;Northern America;"IEEE Computer Society";"1999-2026";"Computer Science (miscellaneous) (Q2); Engineering (miscellaneous) (Q2)";"Computer Science; Engineering"
1157;25515;"Graphical Models";journal;"15240703, 15240711";"Elsevier Inc.";Yes;No;0,434;Q2;64;57;79;2621;208;77;2,18;45,98;29,09;0;United States;Northern America;"Elsevier Inc.";"2000-2026";"Computer Graphics and Computer-Aided Design (Q2); Geometry and Topology (Q2); Modeling and Simulation (Q3); Software (Q3)";"Computer Science; Mathematics"
1158;19600157217;"International Journal of Intelligent Transportation Systems Research";journal;"13488503, 18688659";"Springer";No;No;0,434;Q2;28;162;155;6482;414;155;2,84;40,01;25,56;0;United States;Northern America;"Springer";"2010-2026";"Aerospace Engineering (Q2); Applied Mathematics (Q2); Automotive Engineering (Q2); Control and Systems Engineering (Q2); Information Systems (Q2); Computer Science Applications (Q3); Human-Computer Interaction (Q3); Software (Q3); Transportation (Q3); Neuroscience (miscellaneous) (Q4)";"Computer Science; Engineering; Mathematics; Neuroscience; Social Sciences"
1159;23635;"Adaptive Behavior";journal;"17412633, 10597123";"SAGE Publications Ltd";No;No;0,434;Q3;64;32;131;2035;238;118;1,55;63,59;18,31;0;United Kingdom;Western Europe;"SAGE Publications Ltd";"1992-2026";"Philosophy (Q1); Artificial Intelligence (Q3); Experimental and Cognitive Psychology (Q3); Behavioral Neuroscience (Q4)";"Arts and Humanities; Computer Science; Neuroscience; Psychology"
1160;4900152206;"Data Base for Advances in Information Systems";journal;"23311622, 15320936";"Association for Computing Machinery";No;No;0,433;Q2;73;23;73;1955;169;72;2,38;85,00;33,33;0;United States;Northern America;"Association for Computing Machinery";"1969-2026";"Computer Networks and Communications (Q2); Management Information Systems (Q2)";"Business, Management and Accounting; Computer Science"
1161;21101048389;"CCF Transactions on Pervasive Computing and Interaction";journal;"25245228, 2524521X";"Springer Verlag";No;No;0,432;Q2;20;46;83;2677;204;81;2,08;58,20;35,09;0;Germany;Western Europe;"Springer Verlag";"2019-2026";"Computer Networks and Communications (Q2); Artificial Intelligence (Q3); Computer Science Applications (Q3); Human-Computer Interaction (Q3)";"Computer Science"
1162;21101058819;"Journal of Robotics and Control (JRC)";journal;"27155056, 27155072";"Department of Agribusiness, Universitas Muhammadiyah Yogyakarta";No;No;0,432;Q3;32;200;337;16507;1775;337;5,36;82,54;27,67;0;Indonesia;Asiatic Region;"Department of Agribusiness, Universitas Muhammadiyah Yogyakarta";"2020-2025";"Control and Systems Engineering (Q2); Artificial Intelligence (Q3)";"Computer Science; Engineering"
1163;21101080460;"Operations Research Forum";journal;"26622556";"Springer International Publishing AG";No;No;0,431;Q3;18;187;279;9697;703;271;2,40;51,86;27,29;1;Switzerland;Western Europe;"Springer International Publishing AG";"2020-2026";"Applied Mathematics (Q2); Control and Optimization (Q2); Economics, Econometrics and Finance (miscellaneous) (Q2); Computer Science Applications (Q3)";"Computer Science; Economics, Econometrics and Finance; Mathematics"
1164;29112;"Photonics and Nanostructures - Fundamentals and Applications";journal;"15694429, 15694410";"Elsevier B.V.";No;No;0,431;Q3;52;107;232;5076;649;230;2,83;47,44;31,99;0;Netherlands;Western Europe;"Elsevier B.V.";"2003-2026";"Atomic and Molecular Physics, and Optics (Q2); Condensed Matter Physics (Q2); Electrical and Electronic Engineering (Q2); Electronic, Optical and Magnetic Materials (Q3); Hardware and Architecture (Q3); Nanoscience and Nanotechnology (Q3)";"Computer Science; Engineering; Materials Science; Physics and Astronomy"
1165;21101106370;"Proceedings of the International Conference on Digital Audio Effects, DAFx";conference and proceedings;"24136700, 24136689";"";No;No;0,431;-;43;62;166;1622;222;160;1,32;26,16;10,49;0;Austria;Western Europe;"";"1998-2005, 2007-2014, 2016-2025";"Computer Science Applications; Music; Signal Processing";"Arts and Humanities; Computer Science"
1166;12795;"Perception";journal;"14684233, 03010066";"SAGE Publications Inc.";No;No;0,429;Q3;109;73;176;3225;235;166;1,26;44,18;38,50;0;United Kingdom;Western Europe;"SAGE Publications Inc.";"1972-2026";"Artificial Intelligence (Q3); Experimental and Cognitive Psychology (Q3); Ophthalmology (Q3); Sensory Systems (Q4)";"Computer Science; Medicine; Neuroscience; Psychology"
1167;5400152714;"IET Software";journal;"17518806, 17518814";"John Wiley and Sons Ltd";Yes;No;0,428;Q2;51;35;111;1910;267;110;2,05;54,57;33,11;0;United Kingdom;Western Europe;"John Wiley and Sons Ltd";"2007-2026";"Computer Graphics and Computer-Aided Design (Q2)";"Computer Science"
